slot_id,item,foodland_hawaii,foodland_honolulu,foodland_kauai,foodland_maui,walmart_hawaii,walmart_honolulu,walmart_kauai,walmart_maui,unit
GRAIN-01,Calrose rice (Hinode 20 lb at Foodland),21.37,18.99,21.37,21.37,17.98,17.98,17.98,17.98,/lb
GRAIN-03,"White sandwich bread, ~22 oz",5.66,5.19,5.66,5.66,5.78,5.78,5.78,5.78,/oz
GRAIN-05,"Cheerios, 12 oz",9.39,8.99,9.39,9.39,5.82,5.82,5.82,5.82,/oz
GRAIN-07,"Barilla Spaghetti, 16 oz",3.49,3.49,3.49,3.49,2.22,2.22,2.22,2.22,/oz
VEG-01,"Russet potatoes, 5 lb bag",5.79,5.79,5.79,5.79,4.76,4.76,4.76,4.76,/lb
VEG-04,"Baby spinach, 6 oz bag",6.03,5.79,6.03,6.03,2.76,2.76,2.76,2.76,/oz
VEG-06,Roma tomatoes,4.29,4.29,4.29,4.29,2.08,2.08,2.08,2.08,/lb
VEG-08,"Del Monte Whole Kernel Corn, 15.25 oz",2.69,2.69,2.69,2.69,2.17,2.17,2.17,2.17,/oz
FRUIT-01,Bananas,1.54,1.39,1.54,1.54,1.18,1.08,1.18,1.18,/lb
FRUIT-03,Fuji apples,2.68,2.49,2.68,2.68,1.87,1.87,1.87,1.87,/lb
FRUIT-05,"Dole Pineapple Chunks in Juice, 20 oz",3.87,3.49,3.87,3.87,2.92,2.92,2.92,2.92,/oz
FRUIT-08,"Tropicana No Pulp Orange Juice, 89 oz",13.20,12.49,13.20,13.20,9.92,9.92,9.92,9.92,/fl_oz
DAIRY-01,"Whole milk, gallon — any brand",7.99,7.99,7.99,7.99,6.08,6.08,6.08,6.08,/fl_oz
DAIRY-03,"Kraft Singles American Cheese Slices, 12 oz (16 slices)",5.45,5.19,5.45,5.45,4.63,4.63,4.63,4.63,/oz
DAIRY-06,"Land O'Lakes Salted Butter, 1 lb",9.55,8.99,9.55,9.55,5.34,5.34,5.34,5.34,/oz
DAIRY-07,"Large eggs, dozen — any brand",9.46,8.99,9.46,9.46,3.74,3.74,3.74,3.74,/ct
MEAT-01,Ground beef 80/20,7.99,7.99,7.99,7.99,7.73,7.73,7.73,7.73,/lb
MEAT-04,Boneless skinless chicken breast,5.79,5.79,5.79,5.79,15.12,15.12,15.12,15.12,/lb
MEAT-08,"SPAM Classic, 12 oz",4.06,3.79,4.06,4.06,3.68,3.68,3.68,3.68,/oz
FISH-01,"StarKist Chunk Light Tuna in Water, 5 oz",1.95,1.89,1.95,1.95,1.13,1.13,1.13,1.13,/oz
PROT-04,"Jif Creamy Peanut Butter, 16 oz",5.03,4.79,5.03,5.03,3.78,3.78,3.78,3.78,/oz
FAT-01,"Vegetable oil, ~40-48 fl oz",10.35,9.69,10.35,10.35,5.50,5.50,5.50,5.50,/fl_oz
BEV-03,Folgers Classic Roast ground coffee (25.9 oz at Foodland),26.39,24.99,26.39,26.39,20.38,20.38,20.38,20.38,/oz
SWEET-01,"C&H Granulated Sugar, 4 lb",8.96,8.39,8.96,8.96,3.46,3.46,3.46,3.46,/lb
PREP-01,"Campbell's Chicken Noodle Soup, condensed, 10.75 oz",2.79,2.79,2.79,2.79,5.37,5.37,5.37,5.37,/oz
PREP-03,"Maruchan Ramen Soy Sauce, 2.25 oz packet",1.05,0.99,1.05,1.05,0.58,0.58,0.58,0.58,/oz
,BASKET TOTAL,186.81,177.34,186.81,186.81,145.98,145.88,145.98,145.98,
